index,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,thermistor,time,x,y
30,19.75,20.0,20.25,20.5,20.25,20.5,20.75,19.75,19.75,20.5,20.25,20.75,21.0,20.75,21.0,20.5,19.5,20.25,21.0,20.75,21.0,20.5,20.75,20.5,20.25,20.0,20.75,20.75,21.0,20.75,20.5,21.0,20.0,20.25,21.0,21.0,20.5,21.25,21.0,20.75,20.25,20.5,21.0,21.0,21.25,21.5,20.75,21.5,20.25,20.75,21.25,21.0,21.0,21.5,21.75,21.0,21.0,21.0,21.25,21.5,21.25,21.5,20.75,20.75,26.69,2020-10-23 05:18:00.360,-1.7352292494240142,0.28583878802265217
31,19.5,21.0,21.0,21.0,20.75,20.5,21.25,20.5,19.5,20.25,20.75,20.0,20.75,21.25,21.0,20.75,20.5,20.5,21.0,20.75,20.5,21.25,20.75,20.75,21.0,20.5,21.0,21.25,21.0,21.0,21.0,21.0,20.5,20.5,21.0,21.25,21.25,21.25,21.5,21.25,20.75,21.0,21.0,21.25,21.25,21.25,21.25,21.25,20.5,21.0,21.25,21.25,21.75,21.25,21.25,21.25,21.25,21.0,21.75,21.5,21.25,22.25,21.25,21.0,26.69,2020-10-23 05:18:00.460,-1.7263423007475747,0.28545947766995433
32,20.0,20.0,20.5,20.5,20.5,20.75,21.25,20.75,20.0,20.0,20.5,20.75,20.75,20.75,21.25,20.5,20.0,20.25,21.25,21.0,21.0,21.0,21.0,20.5,20.5,20.25,21.0,21.0,21.25,21.25,21.0,21.0,20.25,20.5,21.0,21.75,20.5,21.5,21.5,20.75,20.75,20.75,21.0,21.0,21.25,21.0,21.25,21.0,21.0,21.0,21.5,21.5,21.5,21.75,22.0,21.25,20.75,21.25,21.5,21.75,21.0,22.0,21.5,21.5,26.69,2020-10-23 05:18:00.561,-1.71612504510889,0.284719239096154
33,20.25,20.25,20.75,21.0,20.5,20.75,21.25,20.5,20.25,20.25,20.5,20.75,21.0,21.0,21.25,21.0,20.0,20.75,21.0,21.0,21.25,21.5,20.75,21.0,20.5,20.75,20.75,21.0,21.5,20.75,20.75,21.0,21.0,20.75,21.25,21.0,21.25,21.5,21.0,21.0,21.0,20.75,21.0,21.0,21.5,21.5,21.5,21.0,21.0,21.25,21.25,21.25,21.5,21.25,21.5,21.5,21.5,21.25,21.0,21.5,21.25,21.5,21.25,21.0,26.69,2020-10-23 05:18:00.662,-1.704993415736278,0.2837435561165543
34,19.75,21.0,20.5,21.0,20.0,21.25,20.75,21.0,19.75,20.0,20.5,20.75,20.25,20.5,21.5,20.75,20.25,20.0,21.25,21.25,20.75,21.0,21.0,20.75,20.75,20.75,20.75,21.25,21.0,21.0,21.0,21.0,20.0,20.75,21.25,21.25,20.75,21.5,21.5,21.0,20.0,21.0,21.0,21.0,21.0,21.25,21.25,21.0,20.75,20.75,21.75,21.75,21.75,21.5,21.5,21.25,20.75,20.75,21.5,21.75,21.0,21.5,21.25,21.25,26.69,2020-10-23 05:18:00.763,-1.6963554557491567,0.2826824543319071
35,19.75,21.0,20.5,21.0,20.0,21.25,20.75,21.0,19.75,20.0,20.5,20.75,20.25,20.5,21.5,20.75,20.0,20.75,20.75,21.0,20.75,21.0,20.75,20.25,20.5,20.5,21.0,20.75,20.75,21.25,21.0,21.0,20.25,20.25,20.75,21.0,20.5,21.25,21.25,20.75,20.5,20.25,21.0,21.0,21.0,21.0,21.0,21.0,20.5,20.75,21.25,21.25,21.25,21.5,21.25,21.0,21.25,21.0,21.5,21.75,21.25,21.5,20.75,21.0,26.69,2020-10-23 05:18:00.866,-1.6940885177933809,0.2810667025939589
36,19.75,19.75,20.5,20.5,20.25,20.25,20.5,20.5,19.75,20.5,20.25,20.5,20.75,20.75,20.75,21.0,20.0,20.75,20.75,21.0,20.75,21.0,20.75,20.25,20.5,20.5,21.0,20.75,20.75,21.25,21.0,21.0,20.0,21.0,20.75,21.25,20.5,21.5,21.25,21.25,20.75,20.75,21.0,21.0,21.25,21.25,21.5,21.0,20.75,21.0,21.75,21.5,21.75,21.5,21.5,21.25,20.75,21.0,21.5,21.75,21.0,21.75,21.0,21.25,26.69,2020-10-23 05:18:00.966,-1.6951512323828157,0.2822041205014204
37,19.5,20.5,20.5,20.75,20.5,21.0,21.25,20.75,20.25,19.75,20.75,20.75,20.75,20.5,21.25,20.75,20.0,20.5,21.25,21.0,21.0,21.25,21.25,21.0,21.0,20.75,21.0,21.25,21.5,21.0,20.75,21.5,20.0,21.0,20.75,21.25,20.5,21.5,21.25,21.25,20.75,20.75,21.0,21.0,21.25,21.25,21.5,21.0,21.0,20.5,21.0,21.5,21.75,21.5,21.5,21.0,22.0,21.0,21.75,21.5,21.5,21.5,21.25,21.5,26.69,2020-10-23 05:18:01.066,-1.7007541574545062,0.2847259207364803
38,20.25,20.25,20.5,20.5,20.0,21.0,21.0,21.0,19.75,20.0,20.5,20.75,20.75,20.5,21.25,20.75,20.0,20.25,21.0,20.75,20.75,20.75,21.0,20.75,20.25,20.5,20.75,20.75,21.0,21.25,21.0,21.25,20.5,20.25,21.0,21.25,21.25,21.25,21.25,20.5,20.0,20.5,21.25,20.75,21.0,21.25,21.25,21.5,21.0,20.5,21.0,21.5,21.75,21.5,21.5,21.0,22.0,21.0,21.75,21.5,21.5,21.5,21.25,21.5,26.69,2020-10-23 05:18:01.167,-1.7079138527178013,0.2905966091889623
39,19.5,20.5,20.5,20.5,20.0,20.5,21.5,21.0,20.25,20.0,20.75,20.25,20.75,20.75,21.0,20.75,20.25,20.25,21.25,21.25,21.0,21.5,20.75,21.0,20.5,20.75,21.0,20.5,21.25,20.75,20.75,21.25,20.25,21.0,21.25,21.0,20.75,21.5,21.5,21.25,20.75,20.5,21.0,21.5,21.25,21.25,21.5,21.25,20.75,21.0,21.0,21.5,21.5,21.25,22.0,21.0,21.0,21.0,22.25,21.75,21.5,22.25,21.0,21.25,26.69,2020-10-23 05:18:01.268,-1.7090686137870115,0.29589359342871085
